city_town,Ward,Pct,PVI,PVI_N
Lynn,1,4,D+15,15.471045479837075
Lynn,2,1,D+9,9.424501660583473
Lynn,2,2,D+23,22.995587107231863
Lynn,2,3,D+30,30.330855019916047
Lynn,2,4,D+26,26.345525389223866
Lynn,3,1,D+15,14.8004010103584
Lynn,3,2,D+24,23.831292671378023
Lynn,3,3,D+21,20.970024935235166
Lynn,4,1,D+32,31.663725728720394
Lynn,4,2,D+30,29.668430308767448
Lynn,5,2,D+30,29.647857041639814
Lynn,5,3,D+31,30.508000095705658
Lynn,4,3,D+24,24.34018445343521
Lynn,5,1,D+19,19.21138460419699
Lynn,5,4,D+21,21.39416984700698
Lynn,6,1,D+24,24.37617255113572
Lynn,6,2,D+26,25.97292007333325
Lynn,6,3,D+24,23.80616527431698
Lynn,6,4,D+24,24.110353897527947
Lynn,7,1,D+16,15.69011237313771
Lynn,7,2,D+18,17.756363583422708
Lynn,7,3,D+17,16.556175687078856
Lynn,7,4,D+17,17.22260733491847
Lynn,3,4,D+25,25.233493564454555
Lynn,4,4,D+23,22.987113322106943
Lynn,1,1,D+2,1.8497642514803236
Lynn,1,2,D+5,5.434040960741737
Springfield,1,A,D+34,33.93309684164589
Springfield,1,B,D+34,33.829201786612096
Springfield,1,C,D+33,33.25428889462603
Springfield,1,D,D+35,35.37133524183734
Springfield,1,E,D+32,32.237861789903235
Springfield,1,F,D+35,35.37979496750052
Springfield,1,G,D+35,34.80233159925237
Springfield,1,H,D+36,35.70109740526433
Springfield,3,B,D+35,35.41766411904255
Springfield,3,C,D+33,33.25992587320551
Springfield,3,D,D+36,35.75428889462603
Springfield,3,E,D+33,33.46555650025983
Springfield,3,F,D+30,29.835773947663636
Springfield,3,G,D+32,31.716251408407725
Springfield,3,H,D+29,29.04169046942918
Springfield,6,A,D+30,29.67977485574914
Springfield,6,B,D+23,22.91007675796106
Springfield,6,F,D+29,29.070615425238277
Springfield,2,H,D+20,20.2337233419268
Springfield,3,A,D+34,34.11908257329153
Springfield,4,A,D+38,37.68414155317824
Springfield,4,B,D+38,38.2356205685526
Springfield,4,C,D+41,40.524025736731296
Springfield,4,D,D+41,40.8662291931335
Springfield,4,E,D+41,40.90257627975552
Springfield,4,F,D+39,39.2220308301099
Springfield,4,G,D+38,38.49663583340154
Springfield,4,H,D+42,41.99968992479527
Springfield,5,A,D+38,37.55415679422973
Springfield,5,B,D+29,28.774431678919754
Springfield,5,E,D+31,30.661696302033437
Springfield,5,F,D+24,24.263678565987533
Springfield,6,E,D+28,27.860050835490323
Springfield,7,A,D+15,15.015652530989666
Springfield,8,C,D+31,30.81953042710799
Springfield,6,C,D+21,21.072685121041125
Springfield,6,D,D+11,10.509608043562203
Springfield,6,G,D+23,22.78430708747018
Springfield,6,H,D+15,15.420633188629896
Springfield,7,B,D+13,12.980989641775064
Springfield,7,C,D+13,12.998665172744639
Springfield,7,D,D+10,9.579266513247342
Springfield,7,E,D+25,24.685874186970814
Springfield,7,G,D+6,6.374938546598186
Springfield,2,E,D+19,18.707593099978293
Springfield,8,E,D+22,22.486498632453745
Springfield,8,F,D+16,16.46549579117775
Springfield,8,G,D+19,19.10052212476019
Springfield,2,A,D+29,29.476674756187148
Springfield,2,B,D+24,24.00737531437912
Springfield,2,C,D+25,25.064822910719663
Springfield,2,D,D+23,22.540003180340317
Springfield,2,F,D+26,25.999672762458882
Springfield,2,G,D+17,17.158398483667124
Springfield,5,C,D+22,21.771364988095176
Springfield,5,D,D+12,12.283687943480325
Springfield,5,G,D+9,9.13756965172382
Springfield,5,H,D+11,10.684921525036684
Springfield,7,F,D+12,11.695584441184737
Springfield,7,H,D+16,15.69823508296684
Springfield,8,A,D+17,16.686492284456534
Springfield,8,B,D+23,22.97248535195292
Springfield,8,D,D+25,25.416918652411503
Springfield,8,H,D+27,26.666624702735685
Newton,1,1,D+20,20.002036642373778
Newton,1,4,D+19,19.4205588708246
Newton,1,2,D+35,34.50988655222162
Newton,1,3,D+37,36.84398933218914
Newton,2,1,D+29,29.30968056948673
Newton,2,2,D+32,32.34194968547882
Newton,2,3,D+36,35.823753650402566
Newton,2,4,D+36,36.11677021002214
Newton,3,1,D+30,30.050030949547345
Newton,3,2,D+36,36.42498233673459
Newton,3,3,D+25,24.62533245463856
