City/Town,Ward,Pct,Obama_12,Romney_12,Clinton_16,Trump_16,US_House,State_Rep,State_Sen,PVI_N,PVI
New Bedford,1,B,806,346,624,493,9th Congressional,11th Bristol,2nd Bristol and Plymouth,11.4880889213,D+11
New Bedford,1,C,789,334,656,470,9th Congressional,11th Bristol,2nd Bristol and Plymouth,12.7155087373,D+13
New Bedford,1,D,733,431,621,534,9th Congressional,8th Bristol,2nd Bristol and Plymouth,6.85196649126,D+7
New Bedford,1,E,819,315,626,431,9th Congressional,8th Bristol,2nd Bristol and Plymouth,14.4163508784,D+14
New Bedford,1,F,805,388,658,539,9th Congressional,8th Bristol,2nd Bristol and Plymouth,9.67811973506,D+10
New Bedford,2,A,280,55,272,74,9th Congressional,11th Bristol,2nd Bristol and Plymouth,29.5219993362,D+30
New Bedford,2,B,509,137,540,237,9th Congressional,11th Bristol,2nd Bristol and Plymouth,22.1822288569,D+22
New Bedford,2,C,474,126,378,210,9th Congressional,11th Bristol,2nd Bristol and Plymouth,20.1819023309,D+20
New Bedford,2,D,590,206,435,333,9th Congressional,11th Bristol,2nd Bristol and Plymouth,14.0018150127,D+14
New Bedford,2,E,693,251,529,374,9th Congressional,11th Bristol,2nd Bristol and Plymouth,14.6260733316,D+15
New Bedford,2,F,725,244,547,344,9th Congressional,11th Bristol,2nd Bristol and Plymouth,16.8518273879,D+17
New Bedford,3,A,423,79,394,121,9th Congressional,10th Bristol,2nd Bristol and Plymouth,28.7990472312,D+29
New Bedford,3,B,586,101,537,119,9th Congressional,11th Bristol,2nd Bristol and Plymouth,32.083494575,D+32
New Bedford,3,C,549,94,436,169,9th Congressional,11th Bristol,2nd Bristol and Plymouth,27.391012665,D+27
New Bedford,3,D,675,155,533,209,9th Congressional,9th Bristol,2nd Bristol and Plymouth,25.3095143287,D+25
New Bedford,3,E,896,272,714,392,9th Congressional,9th Bristol,2nd Bristol and Plymouth,19.2650824167,D+19
New Bedford,3,F,854,306,699,342,9th Congressional,9th Bristol,2nd Bristol and Plymouth,19.023567506,D+19
New Bedford,4,A,679,33,559,80,9th Congressional,13th Bristol,2nd Bristol and Plymouth,40.1005559283,D+40
New Bedford,4,B,1017,119,801,226,9th Congressional,13th Bristol,2nd Bristol and Plymouth,32.5146612656,D+33
New Bedford,4,C,901,166,787,182,9th Congressional,13th Bristol,2nd Bristol and Plymouth,31.3723926962,D+31
New Bedford,4,D,720,151,637,228,9th Congressional,10th Bristol,2nd Bristol and Plymouth,26.6329333787,D+27
New Bedford,4,E,674,200,539,256,9th Congressional,10th Bristol,2nd Bristol and Plymouth,21.1429810631,D+21
New Bedford,4,F,820,109,646,185,9th Congressional,13th Bristol,2nd Bristol and Plymouth,31.7601851592,D+32
New Bedford,5,A,588,133,483,197,9th Congressional,13th Bristol,2nd Bristol and Plymouth,24.9101267593,D+25
New Bedford,5,B,818,190,717,233,9th Congressional,13th Bristol,2nd Bristol and Plymouth,26.8610533921,D+27
New Bedford,5,C,731,215,551,304,9th Congressional,13th Bristol,2nd Bristol and Plymouth,19.6474069047,D+20
New Bedford,5,D,912,231,811,299,9th Congressional,13th Bristol,2nd Bristol and Plymouth,24.9405406448,D+25
New Bedford,5,E,985,446,822,501,9th Congressional,13th Bristol,2nd Bristol and Plymouth,14.0783834823,D+14
New Bedford,5,F,931,344,795,429,9th Congressional,13th Bristol,2nd Bristol and Plymouth,17.5323576645,D+18
